college_institution_id,name,university_id,district_code,state_code,city,autonomous,girl_exclusive,infrastructure_id,is_accredited,offers_scholarship,offers_loan,accreditation_id,accreditation_body,score,max_score,has_score,Total_Students,courses,c_Agriculture,c_Area_Studies,c_Arts,c_Commerce,c_Criminology_&_Forensic_Science,c_Cultural_Studies,c_Defence_Studies,c_Design,c_Disability_Studies,c_Education,c_Engineering_&_Technology,c_Fashion_Technology,c_Fine_Arts,c_Fisheries_Science,c_Foreign_Language,c_Gandhian_Studies,c_Home_Science,c_IT_&_Computer,c_Indian_Language,c_Journalism_&_Mass_Communication,c_Law,c_Library_&_Information_Science,c_Linguistics,c_Management,c_Marine_Science_/_Oceanography,c_Medical_Science,c_Oriental_Learning,c_Physical_Education,c_Religious_Studies,c_Science,c_Social_Science,c_Social_Work,c_Veterinary_&_Animal_Sciences,c_Women_Studies,infrastructure_score,Accr_Score_Percentage,Total_Teachers,student_to_teacher,Student_Density,Infra_quality
34211,Vidyavardhinis College of Engineering and Technology Vidyavardhinis College Campus Vasai Road (Western Railway) Dist Thane 401 202,318,517,27,Vasai Road,FALSE,FALSE,192573,TRUE,TRUE,FALSE,29790,NBA,6.528,684,TRUE,1598,Mechanical Engineering Computer Engineering Civil Engineering Mechanical Engineering Information Technology Other Engineering & Technology Electronics Engineering,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.954385965,104,15.36538462,3,0
52688,PRABHAKAR DEGREE COLLEGE,408,112,8,MERTA CITY,FALSE,FALSE,200869,TRUE,TRUE,FALSE,30856,"M.D.S. UNIVERSITY, AJMER",5,230,TRUE,4,Science Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2.173913043,21,0.19047619,1,2
39714,"Parajanga Mohavidyalaya,Parajanga,Dhenkanal",366,383,21,PARJANG,FALSE,FALSE,164135,TRUE,TRUE,FALSE,24758,NAAC,0.236,4,TRUE,1866,Science Science Science Science Science Arts Arts Arts Arts Arts Arts Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,5.9,51,36.58823529,3,0
11142,"Kai Sou Malatidevi Vasantrao Patil Mahila Shikshan Shastra Mahavidyalaya, Duyyam Bazar Awar, Market Yard, MIRAJ",325,531,27,Miraj,FALSE,TRUE,160887,TRUE,TRUE,FALSE,24304,NAAC,0.5675,4,TRUE,32,Education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14.1875,7,4.571428571,1,2
9082,"C320 Govt F G Degree College,Jewargi",219,579,29,JEWARGI,FALSE,FALSE,183496,TRUE,TRUE,FALSE,28232,NAAC,0.65,4,TRUE,1389,Science Commerce Arts Business Management,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,16.25,51,27.23529412,3,2
43057,"Amolakchand Mahavidyalaya, Yavatmal. Maharashtra Yavatmal",324,510,27,Yavatamal,FALSE,FALSE,209770,TRUE,TRUE,FALSE,31839,NAAC,0.67,4,TRUE,5288,Science Science Science Science Science Science Science Commerce Arts Arts Arts Arts Arts Arts Arts Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,16.75,43,122.9767442,0,1
39522,"Niali College,Niali,Cuttack",366,381,21,,FALSE,FALSE,174771,TRUE,TRUE,FALSE,26571,NAAC,0.68,4,TRUE,451,Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,31,14.5483871,1,3
7611,"Lal Bahadur Shastri Mahavidyalaya, Dharmabad",328,511,27,Dharmabad,FALSE,FALSE,169699,TRUE,TRUE,FALSE,25670,NAAC,0.75,4,TRUE,920,Science Chemistry Physics Commerce Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,18.75,28,32.85714286,1,0
27346,"Government Degree College, Bhadrachalam",19,541,36,khammam,FALSE,FALSE,200277,TRUE,FALSE,FALSE,30800,NAAC,0.76,4,TRUE,892,Science Science Science Science Commerce Commerce Arts Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,19,33,27.03030303,1,0
44599,C325 Govt First Grade College Shahapur,219,579,29,Shahapur,FALSE,FALSE,172443,TRUE,FALSE,FALSE,26155,NAAC,0.761,4,TRUE,1829,Chemistry Mathematics Science Commerce Commerce Arts Business Management History Political Science Computer Application,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8,19.025,70,26.12857143,3,2
