Course,Field,studylevel,AreaofInterest,C_education,Grade,Skills,Age
"Physics,Chemistry,Maths,Biology","Physics,Chemistry,Maths,Biology",Science,1,1,50,1,16
"Physics,Chemistry,Maths,Computer Science","Physics,Chemistry,Maths,Computer Science",Science,1,1,50,1,16
"Physics,Chemistry,Maths,Electronics","Physics,Chemistry,Maths,Electronics",Science,1,1,50,1,16
"Physics,Chemistry,Maths,Statistics","Physics,Chemistry,Maths,Statistics",Science,1,1,50,1,16
"Physics,Chemistry,Maths,Home Science","Physics,Chemistry,Maths,Home Science",Science,1,1,50,1,16
"Physics,Chemistry,Maths,Geology","Physics,Chemistry,Maths,Geology",Science,1,1,50,1,16
"Chemistry,Biology,Psychology,HomeScience","Chemistry,Biology,Psychology,HomeScience",Science,1,1,50,1,16
"History,Econimics,B.Studies,Accountancy","History,Econimics,B.Studies,Accountancy",Commerce,2,1,50,1,16
"Econiomics,Geography,B.Studies,Accounts","Econiomics,Geography,B.Studies,Accounts",Commerce,2,1,50,1,16
"Economics,B.Studies,Accountancy,Comp.Sc","Economics,B.Studies,Accountancy,Comp.Sc",Commerce,2,1,50,1,16
"Economics,Statistics,B.studies,Accounts","Economics,Statistics,B.studies,Accounts",Commerce,2,1,50,1,16
"B.Studies,Acc,Basic Maths,Statistics","B.Studies,Acc,Basic Maths,Statistics",Commerce,2,1,50,1,16
"B.Studies,Acc,Comp.Sc,Statistics","B.Studies,Acc,Comp.Sc,Statistics",Commerce,2,1,50,1,16
"B.Studies,Acc,Pol.Sc,Economics","B.Studies,Acc,Pol.Sc,Economics",Commerce,2,1,50,1,16
"B.Studies,Acc,Economics,Basic Maths","B.Studies,Acc,Economics,Basic Maths",Commerce,2,1,50,1,16
"History,Economics,Sociology,Pol.Sc","History,Economics,Sociology,Pol.Sc",Arts,3,1,50,1,16
"History,Economics,Geography,Pol.Sc","History,Economics,Geography,Pol.Sc",Arts,3,1,50,1,16
"History,Economics,Logic,Pol.Sc","History,Economics,Logic,Pol.Sc",Arts,3,1,50,1,16
"History,Economics,Pol.Sc,Opt.Kannada","History,Economics,Pol.Sc,Opt.Kannada",Arts,3,1,50,1,16
"History,Economics,Geography,Opt.Kannada","History,Economics,Geography,Opt.Kannada",Arts,3,1,50,1,16
"History,Economics,Sociology,Opt.Kannada","History,Economics,Sociology,Opt.Kannada",Arts,3,1,50,1,16
"History,Economics,Pol.Sc,Psychology","History,Economics,Pol.Sc,Psychology",Arts,3,1,50,1,16
"History,Education,Economics,Opt.Kannada","History,Education,Economics,Opt.Kannada",Arts,3,1,50,1,16
"History.Education,Pol.Sc,Opt.Kannada","History.Education,Pol.Sc,Opt.Kannada",Arts,3,1,50,1,16
"History,Education,Geography,Opt.Kannada","History,Education,Geography,Opt.Kannada",Arts,3,1,50,1,16
"History,Education,Sociology,Opt.Kannada","History,Education,Sociology,Opt.Kannada",Arts,3,1,50,1,16
"History,Economics,Sociology,Psychology","History,Economics,Sociology,Psychology",Arts,3,1,50,1,16
"History,Sociology,Education,Economics","History,Sociology,Education,Economics",Arts,3,1,50,1,16
"Histroy,sociology,Education,Pol.Sc","Histroy,sociology,Education,Pol.Sc",Arts,3,1,50,1,16
"History,Sociology,Education,Geography","History,Sociology,Education,Geography",Arts,3,1,50,1,16
"History,Economics,Logic,Sociology","History,Economics,Logic,Sociology",Arts,3,1,50,1,16
"History,Economics,Op.Kan, Kar.Music","History,Economics,Op.Kan, Kar.Music",Arts,3,1,50,1,16
"History,Economics,Op.Kan, Hin.Music","History,Economics,Op.Kan, Hin.Music",Arts,3,1,50,1,16
"History,Sociology,Op.Kan, Kan.Music","History,Sociology,Op.Kan, Kan.Music",Arts,3,1,50,1,16
"History,Sociology,Psychology,Opt.Kannada","History,Sociology,Psychology,Opt.Kannada",Arts,3,1,50,1,16
"History,Pol.Sc,Education,Economics","History,Pol.Sc,Education,Economics",Arts,3,1,50,1,16
"History,Pol.Sc,Education,Geography","History,Pol.Sc,Education,Geography",Arts,3,1,50,1,16
"Economics,Pol.Sc,Education,Sociology","Economics,Pol.Sc,Education,Sociology",Arts,3,1,50,1,16
